X,CH1,CH2
Second,Volt,Volt
1.35788E-01,1.09000E-01,4.16000E+00
1.35790E-01,1.09000E-01,4.16000E+00
1.35792E-01,1.09000E-01,4.16000E+00
1.35794E-01,1.09000E-01,4.16000E+00
1.35796E-01,1.09000E-01,4.16000E+00
1.35798E-01,1.09000E-01,4.16000E+00
1.35800E-01,1.09000E-01,4.16000E+00
1.35802E-01,1.09000E-01,4.16000E+00
1.35804E-01,1.09000E-01,4.16000E+00
1.35806E-01,1.09000E-01,4.16000E+00
1.35808E-01,1.09000E-01,4.16000E+00
1.35810E-01,1.09000E-01,4.16000E+00
1.35812E-01,1.09000E-01,4.16000E+00
1.35814E-01,1.09000E-01,4.16000E+00
1.35816E-01,1.09000E-01,4.16000E+00
1.35818E-01,1.09000E-01,4.16000E+00
1.35820E-01,1.09000E-01,4.16000E+00
1.35822E-01,1.09000E-01,4.08000E+00
1.35824E-01,1.10000E-01,4.16000E+00
1.35826E-01,1.10000E-01,4.08000E+00
1.35828E-01,1.10000E-01,4.08000E+00
1.35830E-01,1.10000E-01,4.08000E+00
1.35832E-01,1.09000E-01,4.08000E+00
1.35834E-01,1.09000E-01,4.08000E+00
1.35836E-01,1.09000E-01,4.08000E+00
1.35838E-01,1.10000E-01,4.16000E+00
1.35840E-01,1.09000E-01,4.08000E+00
1.35842E-01,1.09000E-01,4.16000E+00
1.35844E-01,1.10000E-01,4.16000E+00
1.35846E-01,1.09000E-01,4.08000E+00
1.35848E-01,1.10000E-01,4.16000E+00
1.35850E-01,1.09000E-01,4.16000E+00
1.35852E-01,1.10000E-01,4.16000E+00
1.35854E-01,1.10000E-01,4.16000E+00
1.35856E-01,1.09000E-01,4.16000E+00
1.35858E-01,1.10000E-01,4.08000E+00
1.35860E-01,1.09000E-01,4.16000E+00
1.35862E-01,1.10000E-01,4.16000E+00
1.35864E-01,1.10000E-01,4.16000E+00
1.35866E-01,1.09000E-01,4.16000E+00
1.35868E-01,1.09000E-01,4.16000E+00
1.35870E-01,1.09000E-01,4.16000E+00
1.35872E-01,1.09000E-01,4.16000E+00
1.35874E-01,1.10000E-01,4.16000E+00
1.35876E-01,1.09000E-01,4.16000E+00
1.35878E-01,1.09000E-01,4.16000E+00
1.35880E-01,1.10000E-01,4.24000E+00
1.35882E-01,1.10000E-01,4.16000E+00
1.35884E-01,1.09000E-01,4.24000E+00
1.35886E-01,1.09000E-01,4.24000E+00
1.35888E-01,1.10000E-01,4.24000E+00
1.35890E-01,1.09000E-01,4.24000E+00
1.35892E-01,1.10000E-01,4.24000E+00
1.35894E-01,1.09000E-01,4.24000E+00
1.35896E-01,1.10000E-01,4.24000E+00
1.35898E-01,1.10000E-01,4.24000E+00
1.35900E-01,1.09000E-01,4.24000E+00
1.35902E-01,1.10000E-01,4.24000E+00
1.35904E-01,1.09000E-01,4.24000E+00
1.35906E-01,1.10000E-01,4.24000E+00
1.35908E-01,1.09000E-01,4.24000E+00
1.35910E-01,1.09000E-01,4.32000E+00
1.35912E-01,1.10000E-01,4.32000E+00
1.35914E-01,1.10000E-01,4.32000E+00
1.35916E-01,1.09000E-01,4.32000E+00
1.35918E-01,1.10000E-01,4.32000E+00
1.35920E-01,1.09000E-01,4.32000E+00
1.35922E-01,1.09000E-01,4.32000E+00
1.35924E-01,1.10000E-01,4.40000E+00
1.35926E-01,1.10000E-01,4.32000E+00
1.35928E-01,1.09000E-01,4.40000E+00
1.35930E-01,1.10000E-01,4.40000E+00
1.35932E-01,1.10000E-01,4.40000E+00
1.35934E-01,1.10000E-01,4.40000E+00
1.35936E-01,1.09000E-01,4.40000E+00
1.35938E-01,1.09000E-01,4.48000E+00
1.35940E-01,1.09000E-01,4.48000E+00
1.35942E-01,1.09000E-01,4.48000E+00
1.35944E-01,1.09000E-01,4.48000E+00
1.35946E-01,1.10000E-01,4.40000E+00
1.35948E-01,1.10000E-01,4.48000E+00
1.35950E-01,1.09000E-01,4.48000E+00
1.35952E-01,1.09000E-01,4.56000E+00
1.35954E-01,1.09000E-01,4.56000E+00
1.35956E-01,1.10000E-01,4.56000E+00
1.35958E-01,1.09000E-01,4.64000E+00
1.35960E-01,1.09000E-01,4.56000E+00
1.35962E-01,1.10000E-01,4.64000E+00
1.35964E-01,1.10000E-01,4.64000E+00
1.35966E-01,1.09000E-01,4.64000E+00
1.35968E-01,1.09000E-01,4.64000E+00
1.35970E-01,1.10000E-01,4.64000E+00
1.35972E-01,1.09000E-01,4.64000E+00
1.35974E-01,1.09000E-01,4.72000E+00
1.35976E-01,1.10000E-01,4.64000E+00
1.35978E-01,1.09000E-01,4.72000E+00
1.35980E-01,1.09000E-01,4.72000E+00
1.35982E-01,1.09000E-01,4.72000E+00
1.35984E-01,1.09000E-01,4.80000E+00
1.35986E-01,1.09000E-01,4.80000E+00
1.35988E-01,1.09000E-01,4.80000E+00
1.35990E-01,1.09000E-01,4.80000E+00
1.35992E-01,1.10000E-01,4.80000E+00
1.35994E-01,1.10000E-01,4.80000E+00
1.35996E-01,1.09000E-01,4.88000E+00
1.35998E-01,1.09000E-01,4.88000E+00
1.36000E-01,1.09000E-01,4.88000E+00
1.36002E-01,1.10000E-01,4.88000E+00
1.36004E-01,1.09000E-01,4.88000E+00
1.36006E-01,1.10000E-01,4.96000E+00
1.36008E-01,1.10000E-01,4.96000E+00
1.36010E-01,1.09000E-01,4.96000E+00
1.36012E-01,1.10000E-01,4.96000E+00
