X,CH1,CH2,
Second,Volt,Volt,
9.95200e-03,2.01e+00,6.00e+00,
9.95400e-03,2.01e+00,6.00e+00,
9.95600e-03,2.01e+00,6.00e+00,
9.95800e-03,2.01e+00,6.00e+00,
9.96000e-03,2.01e+00,6.00e+00,
9.96200e-03,2.01e+00,6.00e+00,
9.96400e-03,2.01e+00,6.00e+00,
9.96600e-03,2.01e+00,6.00e+00,
9.96800e-03,2.01e+00,6.00e+00,
9.97000e-03,2.01e+00,6.00e+00,
9.97200e-03,2.01e+00,6.00e+00,
9.97400e-03,2.01e+00,6.00e+00,
9.97600e-03,2.01e+00,6.00e+00,
9.97800e-03,2.01e+00,6.00e+00,
9.98000e-03,2.01e+00,6.00e+00,
9.98200e-03,2.01e+00,6.00e+00,
9.98400e-03,2.01e+00,6.00e+00,
9.98600e-03,2.01e+00,6.00e+00,
9.98800e-03,2.01e+00,6.00e+00,
9.99000e-03,2.01e+00,6.00e+00,
9.99200e-03,2.01e+00,5.92e+00,
9.99400e-03,2.01e+00,5.92e+00,
9.99600e-03,2.01e+00,5.92e+00,
9.99800e-03,2.01e+00,5.92e+00,
1.00000e-02,2.01e+00,5.92e+00,
1.00020e-02,2.01e+00,5.84e+00,
1.00040e-02,2.01e+00,5.92e+00,
1.00060e-02,2.01e+00,5.92e+00,
1.00080e-02,2.01e+00,5.92e+00,
1.00100e-02,2.01e+00,5.92e+00,
1.00120e-02,2.01e+00,5.92e+00,
1.00140e-02,2.01e+00,5.92e+00,
1.00160e-02,2.01e+00,5.84e+00,
1.00180e-02,2.01e+00,5.92e+00,
1.00200e-02,2.01e+00,5.84e+00,
1.00220e-02,2.01e+00,5.84e+00,
1.00240e-02,2.01e+00,5.84e+00,
1.00260e-02,2.01e+00,5.84e+00,
1.00280e-02,2.01e+00,5.84e+00,
1.00300e-02,2.01e+00,5.84e+00,
1.00320e-02,2.01e+00,5.84e+00,
1.00340e-02,2.01e+00,5.84e+00,
1.00360e-02,2.01e+00,5.84e+00,
1.00380e-02,2.01e+00,5.84e+00,
1.00400e-02,2.01e+00,5.84e+00,
1.00420e-02,2.01e+00,5.84e+00,
1.00440e-02,2.01e+00,5.76e+00,
1.00460e-02,2.01e+00,5.76e+00,
1.00480e-02,2.01e+00,5.76e+00,
1.00500e-02,2.01e+00,5.76e+00,
1.00520e-02,2.01e+00,5.76e+00,
1.00540e-02,2.01e+00,5.84e+00,
1.00560e-02,2.01e+00,5.76e+00,
1.00580e-02,2.01e+00,5.76e+00,
1.00600e-02,2.01e+00,5.76e+00,
1.00620e-02,2.01e+00,5.76e+00,
1.00640e-02,2.01e+00,5.76e+00,
1.00660e-02,2.01e+00,5.76e+00,
1.00680e-02,2.01e+00,5.76e+00,
1.00700e-02,2.01e+00,5.68e+00,
1.00720e-02,2.01e+00,5.68e+00,
1.00740e-02,2.01e+00,5.68e+00,
1.00760e-02,2.01e+00,5.68e+00,
1.00780e-02,2.01e+00,5.76e+00,
1.00800e-02,2.01e+00,5.76e+00,
1.00820e-02,2.01e+00,5.76e+00,
1.00840e-02,2.01e+00,5.76e+00,
1.00860e-02,2.01e+00,5.68e+00,
1.00880e-02,2.01e+00,5.68e+00,
1.00900e-02,2.01e+00,5.68e+00,
1.00920e-02,2.01e+00,5.68e+00,
1.00940e-02,2.01e+00,5.60e+00,
1.00960e-02,2.01e+00,5.68e+00,
1.00980e-02,2.01e+00,5.68e+00,
1.01000e-02,2.01e+00,5.68e+00,
1.01020e-02,2.01e+00,5.68e+00,
1.01040e-02,2.01e+00,5.68e+00,
1.01060e-02,2.01e+00,5.68e+00,
1.01080e-02,2.01e+00,5.68e+00,
1.01100e-02,2.01e+00,5.68e+00,
1.01120e-02,2.01e+00,5.68e+00,
1.01140e-02,2.01e+00,5.68e+00,
1.01160e-02,2.01e+00,5.68e+00,
1.01180e-02,2.01e+00,5.68e+00,
1.01200e-02,2.01e+00,5.60e+00,
1.01220e-02,2.01e+00,5.68e+00,
1.01240e-02,2.01e+00,5.68e+00,
1.01260e-02,2.01e+00,5.60e+00,
1.01280e-02,2.01e+00,5.68e+00,
1.01300e-02,2.01e+00,5.68e+00,
1.01320e-02,2.01e+00,5.60e+00,
1.01340e-02,2.01e+00,5.60e+00,
1.01360e-02,2.01e+00,5.60e+00,
1.01380e-02,2.01e+00,5.60e+00,
1.01400e-02,2.01e+00,5.60e+00,
1.01420e-02,2.01e+00,5.60e+00,
1.01440e-02,2.01e+00,5.60e+00,
1.01460e-02,2.01e+00,5.60e+00,
1.01480e-02,2.01e+00,5.60e+00,
1.01500e-02,2.01e+00,5.60e+00,
1.01520e-02,2.01e+00,5.60e+00,
1.01540e-02,2.01e+00,5.60e+00,
1.01560e-02,2.01e+00,5.60e+00,
1.01580e-02,2.01e+00,5.60e+00,
1.01600e-02,2.01e+00,5.60e+00,
1.01620e-02,2.01e+00,5.60e+00,
1.01640e-02,2.01e+00,5.60e+00,
1.01660e-02,2.01e+00,5.60e+00,
1.01680e-02,2.01e+00,5.60e+00,
1.01700e-02,2.01e+00,5.60e+00,
1.01720e-02,2.01e+00,5.60e+00,
1.01740e-02,2.01e+00,5.60e+00,
1.01760e-02,2.01e+00,5.60e+00,
1.01780e-02,2.01e+00,5.60e+00,
1.01800e-02,2.01e+00,5.60e+00,
1.01820e-02,2.01e+00,5.60e+00,
1.01840e-02,2.01e+00,5.60e+00,
1.01860e-02,2.01e+00,5.60e+00,
1.01880e-02,2.01e+00,5.60e+00,
1.01900e-02,2.01e+00,5.60e+00,
1.01920e-02,2.01e+00,5.60e+00,
1.01940e-02,2.01e+00,5.60e+00,
1.01960e-02,2.01e+00,5.60e+00,
1.01980e-02,2.01e+00,5.60e+00,
1.02000e-02,2.01e+00,5.60e+00,
1.02020e-02,2.01e+00,5.60e+00,
1.02040e-02,2.01e+00,5.60e+00,
1.02060e-02,2.01e+00,5.60e+00,
1.02080e-02,2.01e+00,5.52e+00,
1.02100e-02,2.01e+00,5.60e+00,
1.02120e-02,2.01e+00,5.60e+00,
1.02140e-02,2.01e+00,5.60e+00,
1.02160e-02,2.01e+00,5.60e+00,
1.02180e-02,2.01e+00,5.60e+00,
1.02200e-02,2.01e+00,5.52e+00,
1.02220e-02,2.01e+00,5.60e+00,
1.02240e-02,2.01e+00,5.60e+00,
1.02260e-02,2.01e+00,5.60e+00,
1.02280e-02,2.01e+00,5.60e+00,
1.02300e-02,2.01e+00,5.52e+00,
1.02320e-02,2.01e+00,5.60e+00,
1.02340e-02,2.01e+00,5.60e+00,
1.02360e-02,2.01e+00,5.60e+00,
1.02380e-02,2.01e+00,5.60e+00,
1.02400e-02,2.01e+00,5.60e+00,
1.02420e-02,2.01e+00,5.60e+00,
1.02440e-02,2.01e+00,5.60e+00,
1.02460e-02,2.01e+00,5.60e+00,
1.02480e-02,2.01e+00,5.60e+00,
1.02500e-02,2.01e+00,5.60e+00,
1.02520e-02,2.01e+00,5.60e+00,
1.02540e-02,2.01e+00,5.60e+00,
1.02560e-02,2.01e+00,5.60e+00,
1.02580e-02,2.01e+00,5.60e+00,
1.02600e-02,2.01e+00,5.60e+00,
1.02620e-02,2.01e+00,5.60e+00,
1.02640e-02,2.01e+00,5.60e+00,
1.02660e-02,2.01e+00,5.60e+00,
1.02680e-02,2.01e+00,5.60e+00,
1.02700e-02,2.01e+00,5.60e+00,
1.02720e-02,2.01e+00,5.60e+00,
1.02740e-02,2.01e+00,5.68e+00,
1.02760e-02,2.01e+00,5.60e+00,
1.02780e-02,2.01e+00,5.60e+00,
1.02800e-02,2.01e+00,5.60e+00,
1.02820e-02,2.01e+00,5.60e+00,
1.02840e-02,2.01e+00,5.60e+00,
1.02860e-02,2.01e+00,5.60e+00,
1.02880e-02,2.01e+00,5.60e+00,
1.02900e-02,2.01e+00,5.68e+00,
1.02920e-02,2.01e+00,5.68e+00,
1.02940e-02,2.01e+00,5.68e+00,
1.02960e-02,2.01e+00,5.60e+00,
1.02980e-02,2.01e+00,5.68e+00,
1.03000e-02,2.01e+00,5.68e+00,
1.03020e-02,2.01e+00,5.68e+00,
1.03040e-02,2.01e+00,5.60e+00,
1.03060e-02,2.01e+00,5.60e+00,
1.03080e-02,2.01e+00,5.68e+00,
1.03100e-02,2.01e+00,5.60e+00,
1.03120e-02,2.01e+00,5.68e+00,
1.03140e-02,2.01e+00,5.68e+00,
1.03160e-02,2.01e+00,5.68e+00,
1.03180e-02,2.01e+00,5.68e+00,
1.03200e-02,2.01e+00,5.68e+00,
1.03220e-02,2.01e+00,5.68e+00,
1.03240e-02,2.01e+00,5.68e+00,
1.03260e-02,2.01e+00,5.68e+00,
1.03280e-02,2.01e+00,5.68e+00,
1.03300e-02,2.01e+00,5.68e+00,
1.03320e-02,2.01e+00,5.68e+00,
1.03340e-02,2.01e+00,5.68e+00,
1.03360e-02,2.01e+00,5.68e+00,
1.03380e-02,2.01e+00,5.76e+00,
1.03400e-02,2.01e+00,5.68e+00,
1.03420e-02,2.01e+00,5.68e+00,
1.03440e-02,2.01e+00,5.68e+00,
1.03460e-02,2.01e+00,5.76e+00,
1.03480e-02,2.01e+00,5.76e+00,
1.03500e-02,2.01e+00,5.68e+00,
1.03520e-02,2.01e+00,5.76e+00,
1.03540e-02,2.01e+00,5.76e+00,
1.03560e-02,2.01e+00,5.76e+00,
1.03580e-02,2.01e+00,5.76e+00,
1.03600e-02,2.01e+00,5.76e+00,
1.03620e-02,2.01e+00,5.76e+00,
1.03640e-02,2.01e+00,5.76e+00,
1.03660e-02,2.01e+00,5.76e+00,
1.03680e-02,2.01e+00,5.76e+00,
1.03700e-02,2.01e+00,5.76e+00,
1.03720e-02,2.01e+00,5.84e+00,
1.03740e-02,2.01e+00,5.76e+00,
1.03760e-02,2.01e+00,5.76e+00,
1.03780e-02,2.01e+00,5.76e+00,
1.03800e-02,2.01e+00,5.76e+00,
1.03820e-02,2.01e+00,5.84e+00,
1.03840e-02,2.01e+00,5.84e+00,
1.03860e-02,2.01e+00,5.84e+00,
1.03880e-02,2.01e+00,5.84e+00,
1.03900e-02,2.01e+00,5.84e+00,
1.03920e-02,2.01e+00,5.76e+00,
1.03940e-02,2.01e+00,5.84e+00,
1.03960e-02,2.01e+00,5.84e+00,
1.03980e-02,2.01e+00,5.84e+00,
1.04000e-02,2.01e+00,5.84e+00,
1.04020e-02,2.01e+00,5.84e+00,
1.04040e-02,2.01e+00,5.84e+00,
1.04060e-02,2.01e+00,5.92e+00,
1.04080e-02,2.01e+00,5.92e+00,
1.04100e-02,2.01e+00,5.92e+00,
1.04120e-02,2.01e+00,5.92e+00,
1.04140e-02,2.01e+00,5.92e+00,
1.04160e-02,2.01e+00,5.92e+00,
1.04180e-02,2.01e+00,5.92e+00,
1.04200e-02,2.01e+00,5.92e+00,
1.04220e-02,2.01e+00,5.92e+00,
1.04240e-02,2.01e+00,5.92e+00,
1.04260e-02,2.01e+00,5.92e+00,
1.04280e-02,2.01e+00,5.92e+00,
1.04300e-02,2.01e+00,5.92e+00,
1.04320e-02,2.01e+00,5.92e+00,
1.04340e-02,2.01e+00,6.00e+00,
1.04360e-02,2.01e+00,6.00e+00,
1.04380e-02,2.01e+00,6.00e+00,
1.04400e-02,2.01e+00,5.92e+00,
1.04420e-02,2.01e+00,5.92e+00,
1.04440e-02,2.01e+00,6.00e+00,
1.04460e-02,2.01e+00,6.00e+00,
1.04480e-02,2.01e+00,5.92e+00,
1.04500e-02,2.01e+00,5.92e+00,
1.04520e-02,2.01e+00,6.00e+00,
1.04540e-02,2.01e+00,6.00e+00,
1.04560e-02,2.01e+00,6.00e+00,
1.04580e-02,2.01e+00,6.00e+00,
1.04600e-02,2.01e+00,6.00e+00,
1.04620e-02,2.01e+00,6.00e+00,
1.04640e-02,2.01e+00,6.00e+00,
1.04660e-02,2.01e+00,6.08e+00,
1.04680e-02,2.01e+00,6.00e+00,
1.04700e-02,2.01e+00,6.08e+00,
1.04720e-02,2.01e+00,6.08e+00,
1.04740e-02,2.01e+00,6.00e+00,
1.04760e-02,2.01e+00,6.08e+00,
1.04780e-02,2.01e+00,6.08e+00,
1.04800e-02,2.01e+00,6.08e+00,
1.04820e-02,2.01e+00,6.08e+00,
1.04840e-02,2.01e+00,6.08e+00,
1.04860e-02,2.01e+00,6.16e+00,
1.04880e-02,2.01e+00,6.08e+00,
